2025-10-21 13:15:24 | 3.233.158.40 -> 10.172.150.168 | proto=6
2025-10-21 13:15:24 | 142.250.70.74 -> 10.172.150.168 | proto=17
2025-10-21 13:15:24 | 10.172.150.168 -> 142.250.70.74 | proto=17
2025-10-21 13:15:25 | 10.172.150.168 -> 10.172.150.88 | proto=17
2025-10-21 13:15:25 | 10.172.150.168 -> 10.172.150.88 | proto=17
2025-10-21 13:15:25 | 10.172.150.88 -> 10.172.150.168 | proto=17
2025-10-21 13:15:25 | 10.172.150.88 -> 10.172.150.168 | proto=17
2025-10-21 13:15:29 | 10.172.150.168 -> 142.250.70.74 | proto=17
2025-10-21 13:15:29 | 142.250.70.74 -> 10.172.150.168 | proto=17
2025-10-21 13:15:29 | 10.172.150.168 -> 142.250.70.74 | proto=17
2025-10-21 13:15:29 | 142.250.70.74 -> 10.172.150.168 | proto=17
2025-10-21 13:15:29 | 142.250.70.74 -> 10.172.150.168 | proto=17
2025-10-21 13:15:29 | 10.172.150.168 -> 142.250.70.74 | proto=17
2025-10-21 13:15:30 | 142.250.70.74 -> 10.172.150.168 | proto=17
2025-10-21 13:15:34 | 142.250.70.74 -> 10.172.150.168 | proto=17
2025-10-21 13:15:34 | 10.172.150.168 -> 142.250.70.74 | proto=17
2025-10-21 13:15:44 | 142.250.70.74 -> 10.172.150.168 | proto=17
2025-10-21 13:15:44 | 10.172.150.168 -> 142.250.70.74 | proto=17
2025-10-21 13:15:54 | 142.250.70.74 -> 10.172.150.168 | proto=17
2025-10-21 13:15:54 | 10.172.150.168 -> 142.250.70.74 | proto=17
2025-10-21 13:15:54 | 142.250.70.74 -> 10.172.150.168 | proto=17
2025-10-21 13:15:54 | 10.172.150.168 -> 142.250.70.74 | proto=17
2025-10-21 13:16:04 | 142.250.70.74 -> 10.172.150.168 | proto=17
2025-10-21 13:16:04 | 10.172.150.168 -> 142.250.70.74 | proto=17
2025-10-21 13:16:06 | 10.172.150.168 -> 10.172.150.88 | proto=17
2025-10-21 13:16:06 | 10.172.150.168 -> 10.172.150.88 | proto=17
2025-10-21 13:16:06 | 10.172.150.168 -> 10.172.150.88 | proto=17
2025-10-21 13:16:06 | 10.172.150.168 -> 10.172.150.88 | proto=17
2025-10-21 13:16:06 | 10.172.150.168 -> 10.172.150.88 | proto=17
2025-10-21 13:16:06 | 10.172.150.168 -> 10.172.150.88 | proto=17
2025-10-21 13:16:06 | 10.172.150.88 -> 10.172.150.168 | proto=17
2025-10-21 13:16:06 | 10.172.150.88 -> 10.172.150.168 | proto=17
2025-10-21 13:16:07 | 10.172.150.88 -> 10.172.150.168 | proto=17
2025-10-21 13:16:07 | 10.172.150.88 -> 10.172.150.168 | proto=17
2025-10-21 13:16:07 | 10.172.150.88 -> 10.172.150.168 | proto=17
2025-10-21 13:16:07 | 10.172.150.88 -> 10.172.150.168 | proto=17
2025-10-21 13:16:07 | 10.172.150.168 -> 20.42.65.88 | proto=6
2025-10-21 13:16:07 | 10.172.150.168 -> 20.42.65.88 | proto=6
2025-10-21 13:16:07 | 10.172.150.168 -> 10.172.150.88 | proto=17
2025-10-21 13:16:07 | 10.172.150.168 -> 10.172.150.88 | proto=17
2025-10-21 13:16:07 | 10.172.150.168 -> 10.172.150.88 | proto=17
2025-10-21 13:16:07 | 10.172.150.168 -> 10.172.150.88 | proto=17
